voiceID,meanF0_Hz,harmonics,percurssives
Marcelo,174.10159661239086,-0.0,-2e-06
Marcelo,185.3370422494678,0.0,-0.0
Marcelo,185.0437262662238,0.0,-0.0
Marcelo,184.37252908720367,0.0,-0.0
Marcelo,177.972526872903,0.0,-1e-06
Marcelo,185.7342733564217,0.0,2e-06
Marcelo,178.88446593281137,-0.0,-2e-06
Marcelo,180.18494509827966,-0.0,-1e-06
Marcelo,181.15519088697206,-0.0,-3e-06
Marcelo,181.848426899892,0.0,0.0
Marcelo,184.93477654332176,-0.0,-2e-06
Marcelo,192.99881060242055,-0.0,-1e-06
Marcelo,183.4050220142756,0.0,1e-06
Marcelo,184.62163750973565,-0.0,-2e-06
Marcelo,183.06532868746444,-0.0,0.0
Marcelo,190.4269847943487,-0.0,-1e-06
Marcelo,188.54370331557766,-0.0,0.0
Marcelo,178.9620367891428,-0.0,-2e-06
Marcelo,180.72797666537664,0.0,0.0
Marcelo,183.14715975547125,0.0,0.0
Marcelo,182.09397209792692,0.0,2e-06
Marcelo,182.64682079736085,-0.0,1e-06
Marcelo,183.6620000207385,-0.0,-1e-06
Marcelo,184.78064611389132,0.0,2e-06
Marcelo,179.953030757893,0.0,1e-06
Marcelo,183.30993007457582,0.0,1e-06
Marcelo,186.1178381879869,0.0,1e-06
Marcelo,185.58975705114898,0.0,2e-06
Marcelo,186.05134293355235,-0.0,-2e-06
Marcelo,180.77136202925422,-0.0,-3e-06
Marcelo,181.11028616350652,-0.0,-4e-06
Marcelo,178.5536198254587,0.0,-0.0
Marcelo,167.30678943910712,-0.0,-2e-06
Marcelo,175.81966003322185,0.0,4e-06
Marcelo,173.3766714379666,0.0,1e-06
Marcelo,175.66782054927793,0.0,2e-06
Marcelo,169.25227867203776,0.0,1e-06
Marcelo,179.73416892465013,0.0,1e-06
Marcelo,185.3235004144645,-0.0,-2e-06
Marcelo,182.55547888588526,-0.0,-3e-06
Marcelo,171.94134161606516,-0.0,-2e-06
Marcelo,168.37494023322247,0.0,1e-06
Marcelo,168.39033427746367,0.0,1e-06
Marcelo,170.99424062346384,-0.0,-0.0
Marcelo,169.61721120209586,-0.0,0.0
Marcelo,175.14579772009202,-0.0,1e-06
Marcelo,179.13026773748587,0.0,1e-06
Marcelo,174.49891082600234,0.0,-0.0
Marcelo,168.80572227000823,0.0,-2e-06
Marcelo,174.16722592010325,0.0,-0.0
Marcelo,172.0533282944795,-0.0,-0.0
Marcelo,180.84715468966758,0.0,3e-06
Marcelo,172.99209926734613,-0.0,-2e-06
Marcelo,173.73319662217864,-0.0,0.0
Marcelo,172.51664925408372,-0.0,-1e-06
Marcelo,176.14974363051837,-0.0,1e-06
Marcelo,174.3480724929243,-0.0,-3e-06
Marcelo,171.8297673193532,0.0,-2e-06
Marcelo,179.99086307841836,0.0,1e-06
Marcelo,180.07229936899506,0.0,2e-06
Marcelo,172.5848274890295,-0.0,-0.0
Marcelo,165.51827015711578,-0.0,-1e-06
Marcelo,170.43849922530123,-0.0,0.0
Marcelo,161.3033614564701,0.0,1e-06
Marcelo,158.63079031304588,0.0,1e-06
Marcelo,158.74771060920435,-0.0,-2e-06
Marcelo,172.33249321875675,0.0,1e-06
Marcelo,172.76152479127123,0.0,-0.0
Marcelo,174.74994196205793,-0.0,-1e-06
Marcelo,160.0276006791129,1e-05,4e-06
Marcelo,171.36017794366649,0.0,1e-06
Marcelo,165.3431870016247,0.0,-0.0
Marcelo,165.3532809793426,0.0,0.0
Marcelo,161.1583206411191,0.0,4e-06
Marcelo,175.12761211000017,0.0,2e-06
Marcelo,164.9509142248354,0.0,1e-06
Marcelo,172.15249243786488,-0.0,-1e-06
Marcelo,171.1504136529568,-0.0,-3e-06
Marcelo,174.23726797867764,-0.0,1e-06
Marcelo,169.49417092161286,0.0,1e-06
Marcelo,167.9935090151347,0.0,0.0
